occupation,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms
Chief executives,1513000,27.4,3.7,4.2,4.7,FALSE,TRUE,FALSE,chief executive officer,FALSE,FALSE
General and operations managers,1064000,29.1,6.2,4.7,9.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Legislators,11000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Advertising and promotions managers,77000,49.4,6.7,4.3,10,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Marketing and sales managers,967000,45.2,4.2,6,6.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Public relations and fundraising managers,58000,69.3,5.8,3.4,8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Administrative services managers,144000,44.1,6.4,4.4,9.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Computer and information systems managers,605000,26.8,5.6,14.5,5.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Financial managers,1228000,53.5,8.6,5.7,10.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Compensation and benefits managers,15000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Human resources managers,224000,72.7,11.3,2.4,9.5,FALSE,TRUE,FALSE,HR?,TRUE,FALSE
Training and development managers,36000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Industrial production managers,261000,17.6,3.4,5.1,11.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Purchasing managers,218000,50.9,8.4,4.6,10.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Transportation, storage, and distribution managers",287000,15.6,11.1,3.3,11.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Farmers, ranchers, and other agricultural managers",944000,24.5,0.8,1.2,4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Construction managers,983000,6.4,3.7,2.2,9.4,FALSE,TRUE,FALSE,Foreman?,TRUE,FALSE
Education administrators,811000,64.4,13.8,2.2,7.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Architectural and engineering managers,120000,10.9,2.8,7.7,2.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Food service managers,1085000,47.2,8.8,9.5,16.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Funeral service managers,13000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Gaming managers,26000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Lodging managers,154000,45,8,13.9,11.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Medical and health services managers,585000,69.7,10.9,5.1,8.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Natural sciences managers,18000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Postmasters and mail superintendents,39000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Property, real estate, and community association managers",644000,50.7,8.5,3.4,11.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Social and community service managers,315000,70.5,14.6,3.7,8.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Emergency management directors,6000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Managers, all other",3594000,35,7.3,5,9.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Agents and business managers of artists, performers, and athletes",47000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Buyers and purchasing agents, farm products",13000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Wholesale and retail buyers, except farm products",198000,55.2,7.1,7.7,10.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Purchasing agents, except wholesale, retail, and farm products",261000,55.1,6.1,4.4,9.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Claims adjusters, appraisers, examiners, and investigators",323000,63.4,17.5,3.1,10.3,FALSE,TRUE,FALSE,claims adjuster,FALSE,FALSE
Compliance officers,199000,50.6,9.1,3.3,8.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Cost estimators,114000,11.7,1.5,2,6.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Human resources workers,603000,71.8,15.4,4.4,11.8,FALSE,TRUE,FALSE,HR?,TRUE,FALSE
"Compensation, benefits, and job analysis specialists",71000,81.1,6.9,4.2,11.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Training and development specialists,126000,56.4,15.9,0.8,10.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Logisticians,94000,36.8,12.3,2.2,11.9,FALSE,TRUE,FALSE,logistician,FALSE,FALSE
Management analysts,773000,39.8,6.8,8.8,4.4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Meeting, convention, and event planners",127000,73.3,8.1,4.2,10.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Fundraisers,86000,75.3,5.1,4.6,3.4,FALSE,TRUE,FALSE,fundraiser,FALSE,FALSE
Market research analysts and marketing specialists,219000,54.2,5.4,9.1,4.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Business operations specialists, all other",251000,67.3,14.2,5.6,9.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Accountants and auditors,1765000,60.9,9.7,12,6.8,FALSE,TRUE,TRUE,accountant,FALSE,FALSE
Appraisers and assessors of real estate,93000,40.6,9.8,2.7,1,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Budget analysts,55000,52.5,11.5,8.7,8.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Credit analysts,30000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Financial analysts,89000,36.8,3.7,9,6.3,FALSE,TRUE,FALSE,Financial analyst,FALSE,FALSE
Personal financial advisors,378000,31.2,4.8,6.2,4.5,FALSE,TRUE,FALSE,financial advisor,FALSE,FALSE
Insurance underwriters,103000,70.4,10.7,0.7,10.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Financial examiners,14000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Credit counselors and loan officers,333000,59.2,13.2,6,9.3,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Tax examiners and collectors, and revenue agents",82000,62.4,13.9,11.5,13.9,FALSE,TRUE,FALSE,tax collector,FALSE,FALSE
Tax preparers,107000,59.6,10.4,7.1,15.9,FALSE,TRUE,FALSE,tax preparer,FALSE,FALSE
"Financial specialists, all other",82000,66.5,10.9,8.4,11.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Computer and information research scientists,29000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Computer systems analysts,499000,30.9,8.8,15.8,4.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Information security analysts,52000,15.1,11.8,14.2,4,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Computer programmers,480000,22.5,5.9,17.3,5.3,FALSE,TRUE,FALSE,computer programmer,FALSE,FALSE
"Software developers, applications and systems software",1084000,19.7,4,29.4,5.2,FALSE,TRUE,FALSE,software developer,FALSE,FALSE
Web developers,190000,33.7,4.1,8,5.6,FALSE,TRUE,FALSE,web developer,FALSE,FALSE
Computer support specialists,476000,27.1,12,7.7,9.7,FALSE,TRUE,FALSE,IT,FALSE,FALSE
Database administrators,101000,36.6,4.1,10,9.8,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Network and computer systems administrators,226000,25,10,11,10.7,FALSE,TRUE,FALSE,IT,FALSE,FALSE
Computer network architects,127000,8.1,10,14.6,4.6,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Computer occupations, all other",341000,24.4,11.4,11.7,5.9,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Actuaries,26000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Mathematicians,4000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Operations research analysts,130000,54.9,8.3,9.3,6.5,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Statisticians,47000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
Miscellaneous mathematical science occupations,3000,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"Architects, except naval",195000,23.5,1.3,6.2,8.2,FALSE,TRUE,FALSE,architect,FALSE,FALSE
"Surveyors, cartographers, and photogrammetrists",51000,27.8,4.3,5.4,8.1,FALSE,TRUE,TRUE,surveyor,FALSE,FALSE
Aerospace engineers,119000,9,1.8,13.4,4.6,FALSE,TRUE,FALSE,"aerospace engineer, engineer",FALSE,TRUE
