occupation,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms,unique_search_term
Chief executives,1513000,27.4,3.7,4.2,4.7,FALSE,TRUE,FALSE,chief executive officer,FALSE,FALSE,TRUE
Computer programmers,480000,22.5,5.9,17.3,5.3,FALSE,TRUE,FALSE,computer programmer,FALSE,FALSE,TRUE
"Software developers, applications and systems software",1084000,19.7,4,29.4,5.2,FALSE,TRUE,FALSE,software developer,FALSE,FALSE,TRUE
"Engineers, all other",359000,13.2,3.9,15.4,5.9,FALSE,TRUE,FALSE,engineer,FALSE,FALSE,TRUE
Drafters,149000,16.6,3,7.7,9.9,FALSE,TRUE,FALSE,drafter,FALSE,FALSE,TRUE
Biological scientists,101000,50.1,3.7,11.7,7.2,FALSE,TRUE,FALSE,biologist,FALSE,FALSE,TRUE
Chemists and materials scientists,105000,44.2,4,9.2,9.4,FALSE,TRUE,FALSE,chemist,FALSE,FALSE,TRUE
Elementary and middle school teachers,2838000,81.4,9.8,2.1,10.3,FALSE,TRUE,FALSE,primary school teacher,FALSE,FALSE,TRUE
Special education teachers,366000,86.2,6.9,1.1,9.4,FALSE,TRUE,FALSE,special ed teacher,FALSE,FALSE,TRUE
Librarians,181000,86.8,7.9,2.5,2.8,FALSE,TRUE,FALSE,librarian,FALSE,FALSE,TRUE
Announcers,50000,23.6,12,8.3,15.3,FALSE,TRUE,FALSE,announcer,FALSE,FALSE,TRUE
Technical writers,58000,55.5,2.7,6.7,3.7,FALSE,TRUE,FALSE,technical writer,FALSE,FALSE,TRUE
Writers and authors,208000,55.6,5.4,4.2,2.9,FALSE,TRUE,FALSE,author,FALSE,FALSE,TRUE
Pharmacists,286000,53.7,6.8,18.5,5.1,FALSE,TRUE,FALSE,pharmacist,FALSE,FALSE,TRUE
Physicians and surgeons,911000,34.3,7.2,18.1,5.2,FALSE,TRUE,FALSE,doctor,FALSE,FALSE,TRUE
Registered nurses,2875000,90.6,11.5,7.3,6.2,FALSE,TRUE,FALSE,nurse,FALSE,FALSE,TRUE
Nurse practitioners,103000,86.1,4.5,4.6,2.9,FALSE,TRUE,FALSE,nurse practitioner,FALSE,FALSE,TRUE
Clinical laboratory technologists and technicians,319000,72.8,13.5,14,10.7,FALSE,TRUE,FALSE,lab tech,FALSE,FALSE,TRUE
"Opticians, dispensing",54000,59.6,8.2,3.8,4.1,FALSE,TRUE,FALSE,optician,FALSE,FALSE,TRUE
Police and sheriff’s patrol officers,657000,12.6,12.8,3.1,13.8,FALSE,TRUE,FALSE,police officer,FALSE,FALSE,TRUE
Security guards and gaming surveillance officers,903000,18.5,26.6,4.1,15.8,FALSE,TRUE,FALSE,security guard,FALSE,FALSE,TRUE
Chefs and head cooks,403000,21.5,11.9,14.2,18.6,FALSE,TRUE,FALSE,chef,FALSE,FALSE,TRUE
Cooks,1970000,37.7,16.6,6,31.7,FALSE,TRUE,FALSE,cook,FALSE,FALSE,TRUE
Bartenders,412000,59.9,5.2,3.5,13.2,FALSE,TRUE,FALSE,bartender,FALSE,FALSE,TRUE
Janitors and building cleaners,2205000,29.7,18.4,3.6,30.9,FALSE,TRUE,FALSE,custodian,FALSE,FALSE,TRUE
Maids and housekeeping cleaners,1457000,88.1,17.2,4.8,43.3,FALSE,TRUE,FALSE,housekeeper,FALSE,FALSE,TRUE
Childcare workers,1314000,94.1,15.3,3.3,20.3,FALSE,TRUE,FALSE,childcare worker,FALSE,FALSE,TRUE
Insurance sales agents,540000,44.1,8.1,1.8,10.3,FALSE,TRUE,FALSE,insurance sales agent,FALSE,FALSE,TRUE
Telemarketers,97000,50.3,23,1.1,14.7,FALSE,TRUE,FALSE,telemarketer,FALSE,FALSE,TRUE
Customer service representatives,1956000,67.8,16.2,4.2,18,FALSE,TRUE,FALSE,customer service representative,FALSE,FALSE,TRUE
Receptionists and information clerks,1237000,91.5,12.1,4.3,17.9,FALSE,TRUE,FALSE,receptionist,FALSE,FALSE,TRUE
Postal service mail carriers,318000,37.7,16.5,6.7,8.8,FALSE,TRUE,FALSE,mail carrier,FALSE,FALSE,TRUE
Secretaries and administrative assistants,2904000,95.3,8.6,3.2,10.3,FALSE,TRUE,FALSE,administrative assistant,FALSE,FALSE,TRUE
Construction laborers,1387000,2.9,8.4,2,41.2,FALSE,TRUE,FALSE,construction worker,FALSE,FALSE,TRUE
Electricians,692000,1.8,6,2.3,14.8,FALSE,TRUE,FALSE,electrician,FALSE,FALSE,TRUE
"Pipelayers, plumbers, pipefitters, and steamfitters",534000,1.3,6.6,1.5,20.9,FALSE,TRUE,FALSE,plumber,FALSE,FALSE,TRUE
Roofers,196000,1.5,7,0.5,45.1,FALSE,TRUE,FALSE,roofer,FALSE,FALSE,TRUE
Construction and building inspectors,118000,7.8,5.5,2.1,7.7,FALSE,TRUE,FALSE,building inspector,FALSE,FALSE,TRUE
"Butchers and other meat, poultry, and fish processing workers",311000,23,13.5,7.9,41.6,FALSE,TRUE,FALSE,butcher,FALSE,FALSE,TRUE
"Welding, soldering, and brazing workers",593000,4.8,8.7,2.6,23,FALSE,TRUE,FALSE,welder,FALSE,FALSE,TRUE
Aircraft pilots and flight engineers,129000,4.1,2.7,2.5,5,FALSE,TRUE,FALSE,pilot,FALSE,FALSE,TRUE
Bus drivers,558000,45.5,25.3,2.3,12.9,FALSE,TRUE,FALSE,bus driver,FALSE,FALSE,TRUE
Driver/sales workers and truck drivers,3201000,5.4,14,1.6,19.3,FALSE,TRUE,FALSE,truck driver,FALSE,FALSE,TRUE
Crane and tower operators,62000,4,12.3,0.9,12.2,FALSE,TRUE,FALSE,crane operator,FALSE,FALSE,TRUE
Refuse and recyclable material collectors,106000,6.6,24.9,1.4,29.4,FALSE,TRUE,FALSE,garbage collector,FALSE,FALSE,TRUE
