search_term,bls_n,bls_women,search_n,search_women,bls_p_women,search_p_women
bartender,412000,246788,94,22,0.599,0.234042553
construction worker,1387000,40223,88,11,0.029,0.125
author,208000,115648,65,16,0.556,0.246153846
cook,1970000,742690,78,11,0.377,0.141025641
bus driver,558000,253890,48,9,0.455,0.1875
chief executive officer,1513000,414562,98,11,0.274,0.112244898
security guard,903000,167055,95,5,0.185,0.052631579
butcher,311000,71530,63,5,0.23,0.079365079
pilot,129000,5289,77,8,0.041,0.103896104
plumber,534000,6942,85,4,0.013,0.047058824
telemarketer,97000,48791,90,58,0.503,0.644444444
technical writer,58000,32190,40,14,0.555,0.35
custodian,2205000,654885,64,10,0.297,0.15625
childcare worker,1314000,1236474,71,62,0.941,0.873239437
biologist,101000,50601,65,23,0.501,0.353846154
special ed teacher,366000,315492,86,67,0.862,0.779069767
primary school teacher,2838000,2310132,78,56,0.814,0.717948718
librarian,181000,157108,65,62,0.868,0.953846154
nurse,2875000,2604750,89,86,0.906,0.966292135
lab tech,319000,232232,86,56,0.728,0.651162791
chemist,105000,46410,77,41,0.442,0.532467532
mail carrier,318000,119886,73,21,0.377,0.287671233
receptionist,1237000,1131855,81,78,0.915,0.962962963
optician,54000,32184,70,48,0.596,0.685714286
electrician,692000,12456,75,3,0.018,0.04
housekeeper,1457000,1283617,82,76,0.881,0.926829268
administrative assistant,2904000,2767512,78,72,0.953,0.923076923
software developer,1084000,213548,81,12,0.197,0.148148148
roofer,196000,2940,74,0,0.015,0
computer programmer,480000,108000,54,9,0.225,0.166666667
crane operator,62000,2480,44,3,0.04,0.068181818
doctor,911000,312473,83,25,0.343,0.301204819
pharmacist,286000,153582,78,45,0.537,0.576923077
welder,593000,28464,26,2,0.048,0.076923077
insurance sales agent,540000,238140,84,40,0.441,0.476190476
chef,403000,86645,91,22,0.215,0.241758242
announcer,50000,11800,86,18,0.236,0.209302326
truck driver,3201000,172854,72,5,0.054,0.069444444
engineer,359000,47388,71,11,0.132,0.154929577
nurse practitioner,103000,88683,78,66,0.861,0.846153846
police officer,657000,82782,72,10,0.126,0.138888889
building inspector,118000,9204,59,4,0.078,0.06779661
drafter,149000,24734,33,6,0.166,0.181818182
garbage collector,106000,6996,35,2,0.066,0.057142857
customer service representative,1956000,1326168,80,55,0.678,0.6875
