search_term,bls_n,bls_women,search_n,search_women,bls_p_women,search_p_women,Answer.typeofpeople,Answer.howmany,multiple_onegender,image_gender,image_url,source_url,order,search_provider
administrative assistant,2904000,2767512,78,72,0.953,0.923076923,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=Fl5sgFAeqF-DnM:&imgrefurl=http://www.johnleonard.com/blog-with-us/bid/62778/Administrative-Job-of-the-Week-Administrative-Assistant&docid=3MBkvwlDF--n0M&imgurl=http://www.johnleonard.com/Portals/51879/images/Admin1.jpg&w=423&h=284&ei=Ih_3UYP7DuKaiAL18oHIBg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
announcer,50000,11800,86,18,0.236,0.209302326,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=YCnUTuSvNTdk_M:&imgrefurl=http://dict.space.4goo.net/dict%3Fq%3Dannouncer&docid=ydIQWXSHi7ontM&imgurl=http://thedanloweshow.files.wordpress.com/2010/10/announcer.jpg&w=698&h=720&ei=2PD2UZG8BOmciAKDl4GwBw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
author,208000,115648,65,16,0.556,0.246153846,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/author/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=HDgV5s2vV36SDM:&imgrefurl=http://www.smartlearningindia.com/become-an-author/&docid=IBP7oM2huOyv_M&imgurl=http://smartlearningindia.com/wp-content/uploads/2012/08/author.gif&w=358&h=361&ei=KfP2UeztNM7ligKIroH4Cw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
bartender,412000,246788,94,22,0.599,0.234042553,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=LbpUNBYVBN5qRM:&imgrefurl=https://en.wikipedia.org/wiki/Bartender&docid=l64tbm3dVV2DQM&imgurl=https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Robert_gold_bartender.jpg/220px-Robert_gold_bartender.jpg&w=220&h=275&ei=gv32UdrYJ8iWiALjt4DoCA&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
biologist,101000,50601,65,23,0.501,0.353846154,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/biologist/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=0mAnTA8M4WQaRM:&imgrefurl=https://en.wikipedia.org/wiki/Biologist&docid=VVWdmUDK2FNRVM&imgurl=https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Mwb_in_lab-2.jpg/220px-Mwb_in_lab-2.jpg&w=220&h=292&ei=qNL2UaL_Iu3figK7poCIAg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
building inspector,118000,9204,59,4,0.078,0.06779661,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ZuprZPcnuLRDHM:&imgrefurl=http://www.kimberling-city.net/eng.htm&docid=1kKqIPmlls8SCM&imgurl=http://www.kimberling-city.net/images/building%252520inspector.bmp&w=320&h=364&ei=aCP3UYqYFMixiwKk_YCgBw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
bus driver,558000,253890,48,9,0.455,0.1875,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=7H5HwZFcEQsq6M:&imgrefurl=http://en.wikipedia.org/wiki/Bus_driver&docid=_mMLokdNp2oU5M&imgurl=http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Driver_Dave_Marshall_The_Friendly_Bus_Driver.jpg/220px-Driver_Dave_Marshall_The_Friendly_Bus_Driver.jpg&w=220&h=293&ei=-ib3UZqRAcWfiALahYG4CA&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
butcher,311000,71530,63,5,0.23,0.079365079,man|child,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/butcher/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=uEiHO4j4B0WxzM:&imgrefurl=http://eofdreams.com/butcher.html&docid=VatuR231U34EZM&imgurl=http://eofdreams.com/data_images/dreams/butcher/butcher-01.jpg&w=554&h=580&ei=ViT3UaCFHrHZigK134HwAw&zoom=1&ved=1t:3588,r:0,s:0,i:89",0,google
chef,403000,86645,91,22,0.215,0.241758242,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=a1wkxs8s2J9ZKM:&imgrefurl=http://lists7.com/7-qualities-you-need-to-become-a-great-chef&docid=5YjouaBKrZoB4M&imgurl=http://lists7.com/wp-content/uploads/2012/04/Chef-Hans-1.jpg&w=881&h=1167&ei=wvz2UbaoNq3biwL-l4GoCg&zoom=1&ved=1t:3588,r:0,s:0,i:89",0,google
chemist,105000,46410,77,41,0.442,0.532467532,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/chemist/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=63uGn9yYGTCpTM:&imgrefurl=http://chemistry.about.com/od/imagesclipartstructures/ig/Lab-Equipment---Instruments/Chemist.htm&docid=XIvsfwaSgKY3wM&imgurl=http://0.tqn.com/d/chemistry/1/0/5/b/chemist.jpg&w=484&h=353&ei=g-v2UdnVFur6igKKjICYBg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
childcare worker,1314000,1236474,71,62,0.941,0.873239437,woman|child,multiple,TRUE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=LBh-sID25DU3aM:&imgrefurl=http://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm&docid=QT0Mv9ZvcCHqzM&imgurl=http://www.bls.gov/ooh/images/p22-to-p23/p233-1-jpg.jpg&w=336&h=240&ei=Shn3Uf_0K4isiAKIrIGYCA&zoom=1&ved=1t:3588,r:0,s:0,i:83",0,google
crane operator,62000,2480,44,3,0.04,0.068181818,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=rJ61f9qKRj-EVM:&imgrefurl=http://www.californiacraneschool.com/guarantee.html&docid=zWX_3W8ttRHphM&imgurl=http://www.californiacraneschool.com/images/cranetraining/Happy_Crane_Operator.jpeg&w=640&h=480&ei=BSn3UcaHNuqKiALP0IDoDg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
custodian,2205000,654885,64,10,0.297,0.15625,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=2Ur-eyha8a__xM:&imgrefurl=http://vipdictionary.com/custodian&docid=zhO0mUyQ6VLeSM&imgurl=http://vipdictionary.com/img/custodian.gif&w=490&h=468&ei=fBX3Ub2jJ-WriAKmuIGwAw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
customer service representative,1956000,1326168,80,55,0.678,0.6875,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/customer service representative/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=vz8S4Hlv7nw7zM:&imgrefurl=http://www.resumeok.com/customer-service-representative/&docid=9W56UeiNSUQv9M&imgurl=http://www.resumeok.com/wp-content/uploads/2012/11/customer-service-representative-job-interview.jpg&w=581&h=387&ei=Mx33Ud-xAYPTiwLcz4DICw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
doctor,911000,312473,83,25,0.343,0.301204819,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=gS1nGy3PoLZqTM:&imgrefurl=http://eofdreams.com/doctor.html&docid=RQZ-3esxq8V6LM&imgurl=http://eofdreams.com/data_images/dreams/doctor/doctor-02.jpg&w=1377&h=1723&ei=rvX2UcPGCejUiwLtvICACA&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
drafter,149000,24734,33,6,0.166,0.181818182,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/drafter/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=ZdYdJ0gBQCpx2M:&imgrefurl=http://www.cdr.state.tx.us/shared/WhyStudyThis/Interviews/eaton.html&docid=OtcwO7LpAjC7NM&imgurl=http://www.cdr.state.tx.us/shared/images/drafter.gif&w=418&h=394&ei=UNL2UYq_OrDxiQLM7YCoCg&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
electrician,692000,12456,75,3,0.018,0.04,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/electrician/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=4k0M3ZF_ozbd2M:&imgrefurl=http://www.bls.gov/ooh/construction-and-extraction/electricians.htm&docid=REaCIulB5A7KKM&imgurl=http://www.bls.gov/ooh/images/p00-to-p01/p013-1-jpg.jpg&w=336&h=240&ei=OSH3Uf2TN4iTiQLOu4DoAQ&zoom=1&ved=1t:3588,r:0,s:0,i:81",0,google
engineer,359000,47388,71,11,0.132,0.154929577,man,multiple,TRUE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=fpiayrx2g17aeM:&imgrefurl=http://eofdreams.com/engineer.html&docid=oShrdd1QH6cJqM&imgurl=http://eofdreams.com/data_images/dreams/engineer/engineer-02.jpg&w=1050&h=703&ei=ANL2UefUGOKaiQKBvIGYAg&zoom=1&ved=1t:3588,r:0,s:0,i:89",0,google
garbage collector,106000,6996,35,2,0.066,0.057142857,man,oneperson,FALSE,man,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=YfAkDy6YW74x2M:&imgrefurl=http://www.howstuffworks.com/10-high-paying-dirty-job1.htm&docid=ZQoVXp45vr5R0M&imgurl=http://static.ddmcdn.com/gif/highest-paying-dirty-job-1.jpg&w=400&h=266&ei=bSn3UZ7RGsr0iQL85oCwBw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
housekeeper,1457000,1283617,82,76,0.881,0.926829268,woman,oneperson,FALSE,woman,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/0.jpg,"http://www.google.com/imgres?biw=1141&bih=508&tbm=isch&tbnid=kiAuATd7WTbTbM:&imgrefurl=http://conniesbrain.wordpress.com/2011/07/02/yes-you-are-suppose-to-tip-the-housekeeper/&docid=sQ-0gpQUB6OXOM&imgurl=http://conniesbrain.files.wordpress.com/2011/07/housekeeper.jpg&w=1268&h=878&ei=5RX3UbSdFsybjALYjoD4Cw&zoom=1&ved=1t:3588,r:0,s:0,i:90",0,google
