turker,turker_gender,search_term,image_url,image_gender,bls_p_women,bls_p_image_gender,search_p_women,attractive,provocative,sexy,professional,competent,inappropriate,trustworthy,weird
a157,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/15.jpg,woman,0.503,0.503,0.644444444,agree,agree,agree,agree,neutral,disagree,neutral,neutral
a67,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,man,0.215,0.785,0.241758242,neutral,disagree,disagree,agree,agree,disagree,agree,disagree
a106,male,librarian,http://homes.cs.washington.edu/~mjskay/aws-images/google/librarian/80.jpg,man,0.868,0.132,0.953846154,disagree,NA,strongly disagree,strongly disagree,neutral,strongly disagree,neutral,agree
a59,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/7.jpg,man,0.215,0.785,0.241758242,neutral,disagree,neutral,agree,agree,disagree,agree,disagree
a118,male,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/16.jpg,man,0.04,0.96,0.068181818,disagree,agree,strongly disagree,agree,agree,strongly disagree,neutral,strongly disagree
a69,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/8.jpg,man,0.078,0.922,0.06779661,strongly agree,disagree,agree,agree,agree,strongly disagree,agree,strongly disagree
a77,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/2.jpg,man,0.599,0.401,0.234042553,agree,strongly disagree,neutral,agree,agree,strongly disagree,neutral,strongly disagree
a118,male,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/31.jpg,woman,0.126,0.126,0.138888889,strongly agree,agree,strongly agree,agree,agree,NA,NA,strongly disagree
a65,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/2.jpg,woman,0.728,0.728,0.651162791,agree,agree,neutral,strongly agree,strongly agree,strongly disagree,neutral,NA
a42,male,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/1.jpg,woman,0.862,0.862,0.779069767,agree,neutral,agree,agree,agree,strongly disagree,agree,NA
a93,male,cook,http://homes.cs.washington.edu/~mjskay/aws-images/google/cook/64.jpg,woman,0.377,0.377,0.141025641,neutral,disagree,disagree,agree,agree,disagree,strongly agree,disagree
a54,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/1.jpg,man,0.537,0.463,0.576923077,agree,disagree,disagree,agree,agree,disagree,agree,disagree
a138,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/3.jpg,man,0.297,0.703,0.15625,neutral,neutral,neutral,agree,neutral,neutral,neutral,neutral
a59,female,custodian,http://homes.cs.washington.edu/~mjskay/aws-images/google/custodian/3.jpg,man,0.297,0.703,0.15625,neutral,disagree,disagree,agree,neutral,disagree,neutral,disagree
a34,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/52.jpg,woman,0.455,0.455,0.1875,agree,disagree,disagree,agree,agree,disagree,agree,strongly disagree
a176,female,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/18.jpg,man,0.04,0.96,0.068181818,neutral,strongly disagree,neutral,agree,agree,strongly disagree,neutral,strongly disagree
a74,male,construction worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/construction worker/3.jpg,man,0.029,0.971,0.125,agree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a18,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/8.jpg,woman,0.862,0.862,0.779069767,neutral,disagree,disagree,agree,agree,disagree,agree,disagree
a115,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/58.jpg,man,0.861,0.139,0.846153846,strongly agree,neutral,neutral,agree,agree,strongly disagree,neutral,strongly disagree
a74,male,garbage collector,http://homes.cs.washington.edu/~mjskay/aws-images/google/garbage collector/0.jpg,man,0.066,0.934,0.057142857,disagree,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a89,male,crane operator,http://homes.cs.washington.edu/~mjskay/aws-images/google/crane operator/18.jpg,man,0.04,0.96,0.068181818,neutral,neutral,strongly disagree,agree,agree,strongly disagree,neutral,strongly disagree
a6,female,insurance sales agent,http://homes.cs.washington.edu/~mjskay/aws-images/google/insurance sales agent/22.jpg,man,0.441,0.559,0.476190476,neutral,neutral,neutral,strongly agree,agree,strongly disagree,agree,strongly disagree
a50,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/35.jpg,woman,0.132,0.132,0.154929577,neutral,neutral,neutral,agree,agree,disagree,agree,disagree
a59,female,nurse,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/99.jpg,man,0.906,0.094,0.966292135,agree,disagree,neutral,agree,agree,disagree,agree,disagree
a174,male,security guard,http://homes.cs.washington.edu/~mjskay/aws-images/google/security guard/7.jpg,man,0.185,0.815,0.052631579,disagree,agree,disagree,strongly agree,agree,strongly disagree,agree,strongly disagree
a6,female,computer programmer,http://homes.cs.washington.edu/~mjskay/aws-images/google/computer programmer/2.jpg,man,0.225,0.775,0.166666667,agree,neutral,agree,disagree,neutral,strongly disagree,disagree,strongly disagree
a173,female,police officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/police officer/1.jpg,man,0.126,0.874,0.138888889,strongly disagree,strongly disagree,strongly disagree,strongly agree,agree,strongly disagree,agree,neutral
a89,male,housekeeper,http://homes.cs.washington.edu/~mjskay/aws-images/google/housekeeper/1.jpg,woman,0.881,0.881,0.926829268,agree,strongly disagree,neutral,agree,agree,strongly disagree,agree,strongly disagree
a173,female,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/21.jpg,woman,0.455,0.455,0.1875,neutral,strongly disagree,strongly disagree,agree,agree,strongly disagree,agree,strongly disagree
a118,male,nurse,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse/0.jpg,woman,0.906,0.906,0.966292135,agree,agree,agree,agree,agree,strongly disagree,agree,strongly disagree
a183,female,childcare worker,http://homes.cs.washington.edu/~mjskay/aws-images/google/childcare worker/50.jpg,man,0.941,0.059,0.873239437,neutral,neutral,neutral,neutral,neutral,disagree,neutral,disagree
a37,male,doctor,http://homes.cs.washington.edu/~mjskay/aws-images/google/doctor/2.jpg,man,0.343,0.657,0.301204819,agree,disagree,neutral,agree,disagree,disagree,disagree,disagree
a176,female,librarian,http://homes.cs.washington.edu/~mjskay/aws-images/google/librarian/65.jpg,man,0.868,0.132,0.953846154,strongly disagree,NA,strongly disagree,agree,agree,NA,agree,disagree
