occupation,n,p_women,p_black,p_asian,p_hispanic,aggregate,y.n,conjunction,search_term,uncertain_search_term,multiple_search_terms,unique_search_term
Chief executives,1513000,27.4,3.7,4.2,4.7,FALSE,TRUE,FALSE,chief executive officer,FALSE,FALSE,TRUE
"Claims adjusters, appraisers, examiners, and investigators",323000,63.4,17.5,3.1,10.3,FALSE,TRUE,FALSE,claims adjuster,FALSE,FALSE,TRUE
Logisticians,94000,36.8,12.3,2.2,11.9,FALSE,TRUE,FALSE,logistician,FALSE,FALSE,TRUE
Fundraisers,86000,75.3,5.1,4.6,3.4,FALSE,TRUE,FALSE,fundraiser,FALSE,FALSE,TRUE
Financial analysts,89000,36.8,3.7,9,6.3,FALSE,TRUE,FALSE,Financial analyst,FALSE,FALSE,TRUE
Personal financial advisors,378000,31.2,4.8,6.2,4.5,FALSE,TRUE,FALSE,financial advisor,FALSE,FALSE,TRUE
"Tax examiners and collectors, and revenue agents",82000,62.4,13.9,11.5,13.9,FALSE,TRUE,FALSE,tax collector,FALSE,FALSE,TRUE
Tax preparers,107000,59.6,10.4,7.1,15.9,FALSE,TRUE,FALSE,tax preparer,FALSE,FALSE,TRUE
Computer programmers,480000,22.5,5.9,17.3,5.3,FALSE,TRUE,FALSE,computer programmer,FALSE,FALSE,TRUE
"Software developers, applications and systems software",1084000,19.7,4,29.4,5.2,FALSE,TRUE,FALSE,software developer,FALSE,FALSE,TRUE
Web developers,190000,33.7,4.1,8,5.6,FALSE,TRUE,FALSE,web developer,FALSE,FALSE,TRUE
"Architects, except naval",195000,23.5,1.3,6.2,8.2,FALSE,TRUE,FALSE,architect,FALSE,FALSE,TRUE
"Engineers, all other",359000,13.2,3.9,15.4,5.9,FALSE,TRUE,FALSE,engineer,FALSE,FALSE,TRUE
Drafters,149000,16.6,3,7.7,9.9,FALSE,TRUE,FALSE,drafter,FALSE,FALSE,TRUE
Biological scientists,101000,50.1,3.7,11.7,7.2,FALSE,TRUE,FALSE,biologist,FALSE,FALSE,TRUE
Chemists and materials scientists,105000,44.2,4,9.2,9.4,FALSE,TRUE,FALSE,chemist,FALSE,FALSE,TRUE
Psychologists,178000,72.7,6,3.9,6.3,FALSE,TRUE,FALSE,psychologist,FALSE,FALSE,TRUE
Counselors,661000,69.3,19.4,2.9,10.7,FALSE,TRUE,FALSE,counselor,FALSE,FALSE,TRUE
Social workers,734000,80.6,23,3.1,12.6,FALSE,TRUE,FALSE,social worker,FALSE,FALSE,TRUE
Clergy,408000,20.5,11.2,4.2,6.1,FALSE,TRUE,FALSE,clergy member,FALSE,FALSE,TRUE
Lawyers,1061000,31.1,4.4,4.3,4,FALSE,TRUE,FALSE,lawyer,FALSE,FALSE,TRUE
Paralegals and legal assistants,418000,85.9,10.7,4.6,17,FALSE,TRUE,FALSE,paralegal,FALSE,FALSE,TRUE
Elementary and middle school teachers,2838000,81.4,9.8,2.1,10.3,FALSE,TRUE,FALSE,primary school teacher,FALSE,FALSE,TRUE
Secondary school teachers,1127000,57.3,6,3.1,7.6,FALSE,TRUE,FALSE,high school teacher,FALSE,FALSE,TRUE
Special education teachers,366000,86.2,6.9,1.1,9.4,FALSE,TRUE,FALSE,special ed teacher,FALSE,FALSE,TRUE
Librarians,181000,86.8,7.9,2.5,2.8,FALSE,TRUE,FALSE,librarian,FALSE,FALSE,TRUE
