participant,bls_p_women,synthetic_p_women,search_term,perceived_education_level_1,perceived_p_women_1,perceived_growth_1,perceived_prestige_1,perceived_education_level_2,perceived_p_women_2,perceived_growth_2,perceived_prestige_2
c11,0.078,0.5,building inspector,Two year college or vocational degree,0.14,Staying about the same,Neither prestigious or not,Two year college or vocational degree,0.32,Growing,Neither prestigious or not
c12,0.377,0.375,cook,High school diploma or equivalent,0.5,Staying about the same,Somewhat unprestigious,High school diploma or equivalent,0.5,Staying about the same,Somewhat unprestigious
c34,0.126,0.875,police officer,Four year college degree,0.45,Growing,Somewhat prestigious,Four year college degree,0.5,Staying about the same,Somewhat prestigious
c11,0.596,0.5,optician,Professional degree,0.46,Staying about the same,Somewhat prestigious,Professional degree,0.5,Staying about the same,Somewhat prestigious
c14,0.442,0.5,chemist,Four year college degree,0.05,Staying about the same,Somewhat unprestigious,Four year college degree,0.54,Growing,Very prestigious
c30,0.343,0.25,doctor,Doctorate,0.4,Growing,Very prestigious,Doctorate,0.4,Growing,Very prestigious
c7,0.862,0.75,special ed teacher,Four year college degree,0.75,Growing,Very prestigious,Four year college degree,0.78,Growing,Somewhat prestigious
c12,0.197,0.125,software developer,Four year college degree,0.2,Staying about the same,Neither prestigious or not,Four year college degree,0.2,Growing,Neither prestigious or not
c19,0.377,0,cook,High school diploma or equivalent,0.35,Growing,Neither prestigious or not,High school diploma or equivalent,0.25,Staying about the same,Neither prestigious or not
c17,0.501,0.375,biologist,Professional degree,0.45,Staying about the same,Very prestigious,Four year college degree,0.6,Staying about the same,Somewhat prestigious
c14,0.029,0,construction worker,Two year college or vocational degree,0.05,Growing,Somewhat prestigious,Four year college degree,0.08,Staying about the same,Very prestigious
c9,0.862,0.5,special ed teacher,Four year college degree,0.75,Staying about the same,Somewhat prestigious,Four year college degree,0.75,Staying about the same,Somewhat prestigious
c30,0.814,1,primary school teacher,Four year college degree,0.9,Growing,Neither prestigious or not,Four year college degree,0.85,Growing,Neither prestigious or not
c12,0.555,0.5,technical writer,Four year college degree,0.4,Staying about the same,Neither prestigious or not,Four year college degree,0.35,Staying about the same,Neither prestigious or not
