participant,bls_p_women,search_term,perceived_education_level_1,perceived_p_women_1,perceived_growth_1,perceived_prestige_1
c11,0.078,building inspector,Two year college or vocational degree,0.14,Staying about the same,Neither prestigious or not
c30,0.953,administrative assistant,Two year college or vocational degree,0.9,Staying about the same,Somewhat unprestigious
c12,0.377,cook,High school diploma or equivalent,0.5,Staying about the same,Somewhat unprestigious
c16,0.915,receptionist,High school diploma or equivalent,0.75,Staying about the same,Somewhat unprestigious
c19,0.185,security guard,High school diploma or equivalent,0.1,Staying about the same,Somewhat unprestigious
c34,0.126,police officer,Four year college degree,0.45,Growing,Somewhat prestigious
c11,0.596,optician,Professional degree,0.46,Staying about the same,Somewhat prestigious
c14,0.442,chemist,Four year college degree,0.05,Staying about the same,Somewhat unprestigious
c30,0.343,doctor,Doctorate,0.4,Growing,Very prestigious
c7,0.862,special ed teacher,Four year college degree,0.75,Growing,Very prestigious
c12,0.197,software developer,Four year college degree,0.2,Staying about the same,Neither prestigious or not
c19,0.377,cook,High school diploma or equivalent,0.35,Growing,Neither prestigious or not
c18,0.04,crane operator,High school diploma or equivalent,0.15,Shrinking,Very unprestigious
c17,0.501,biologist,Professional degree,0.45,Staying about the same,Very prestigious
c14,0.029,construction worker,Two year college or vocational degree,0.05,Growing,Somewhat prestigious
c9,0.862,special ed teacher,Four year college degree,0.75,Staying about the same,Somewhat prestigious
c30,0.814,primary school teacher,Four year college degree,0.9,Growing,Neither prestigious or not
c12,0.555,technical writer,Four year college degree,0.4,Staying about the same,Neither prestigious or not
c19,0.555,technical writer,Four year college degree,0.5,Growing,Somewhat prestigious
c18,0.066,garbage collector,High school diploma or equivalent,0.15,Shrinking,Very unprestigious
c17,0.861,nurse practitioner,Four year college degree,0.65,Growing,Somewhat prestigious
c11,0.041,pilot,Four year college degree,0.16,Staying about the same,Neither prestigious or not
c30,0.556,author,Four year college degree,0.5,Staying about the same,Somewhat prestigious
c43,0.015,roofer,Some high school,0.05,Staying about the same,Neither prestigious or not
c7,0.078,building inspector,Four year college degree,0.18,Growing,Very prestigious
c12,0.018,electrician,Two year college or vocational degree,0.05,Staying about the same,Neither prestigious or not
c19,0.915,receptionist,High school diploma or equivalent,0.97,Staying about the same,Somewhat unprestigious
c17,0.166,drafter,Four year college degree,0.3,Staying about the same,Somewhat prestigious
c14,0.041,pilot,Four year college degree,0.2,Staying about the same,Very unprestigious
c30,0.126,police officer,Professional degree,0.25,Growing,Somewhat prestigious
c43,0.048,welder,Two year college or vocational degree,0.1,Staying about the same,Neither prestigious or not
c12,0.054,truck driver,High school diploma or equivalent,0.04,Growing,Somewhat unprestigious
c16,0.377,cook,High school diploma or equivalent,0.5,Staying about the same,Somewhat unprestigious
c19,0.343,doctor,Doctorate,0.46,Staying about the same,Very prestigious
c18,0.678,customer service representative,High school diploma or equivalent,0.55,Staying about the same,Neither prestigious or not
c17,0.915,receptionist,High school diploma or equivalent,0.9,Staying about the same,Neither prestigious or not
c11,0.455,bus driver,High school diploma or equivalent,0.23,Staying about the same,Somewhat unprestigious
c9,0.185,security guard,High school diploma or equivalent,0.2,Staying about the same,Neither prestigious or not
c30,0.197,software developer,Four year college degree,0.35,Growing,Somewhat prestigious
c43,0.953,administrative assistant,Two year college or vocational degree,0.7,Growing,Neither prestigious or not
c7,0.915,receptionist,Two year college or vocational degree,0.97,Growing,Somewhat prestigious
c12,0.166,drafter,Four year college degree,0.15,Staying about the same,Neither prestigious or not
c16,0.132,engineer,Professional degree,0.25,Staying about the same,Very prestigious
c19,0.018,electrician,Two year college or vocational degree,0.1,Staying about the same,Neither prestigious or not
c18,0.728,lab tech,Four year college degree,0.5,Growing,Very unprestigious
c11,0.225,computer programmer,Professional degree,0.34,Growing,Very prestigious
c30,0.906,nurse,Professional degree,0.85,Growing,Somewhat prestigious
c7,0.225,computer programmer,Two year college or vocational degree,0.38,Growing,Somewhat prestigious
c12,0.868,librarian,Four year college degree,0.75,Shrinking,Neither prestigious or not
c16,0.556,author,Some high school,0.55,Staying about the same,Somewhat prestigious
c19,0.814,primary school teacher,Four year college degree,0.85,Staying about the same,Neither prestigious or not
