participant,participant_gender,search_term,image_url,image_selected,image_gender,image_position,bls_p_women,bls_p_image_gender,search_p_women,synthetic_p_women,quality_rating
b22,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/1.jpg,FALSE,man,1,0.274,0.726,0.112244898,0,good
b16,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,FALSE,woman,1,0.862,0.862,0.779069767,1,good
b8,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,FALSE,man,1,0.236,0.764,0.209302326,0.75,very good
b3,female,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,FALSE,man,1,0.132,0.868,0.154929577,0.125,good
b30,female,nurse practitioner,http://homes.cs.washington.edu/~mjskay/aws-images/google/nurse practitioner/0.jpg,FALSE,woman,1,0.861,0.861,0.846153846,0.5,good
b7,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/4.jpg,FALSE,man,1,0.555,0.445,0.35,0,poor
b38,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,FALSE,woman,1,0.503,0.503,0.644444444,0.5,fair
b19,male,telemarketer,http://homes.cs.washington.edu/~mjskay/aws-images/google/telemarketer/0.jpg,FALSE,woman,1,0.503,0.503,0.644444444,0.375,fair
b36,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/4.jpg,FALSE,man,1,0.728,0.272,0.651162791,0,good
b25,male,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/4.jpg,FALSE,man,1,0.728,0.272,0.651162791,0,very good
b5,female,lab tech,http://homes.cs.washington.edu/~mjskay/aws-images/google/lab tech/4.jpg,TRUE,man,1,0.728,0.272,0.651162791,0,good
b4,male,announcer,http://homes.cs.washington.edu/~mjskay/aws-images/google/announcer/0.jpg,FALSE,man,1,0.236,0.764,0.209302326,0.25,good
b10,male,bus driver,http://homes.cs.washington.edu/~mjskay/aws-images/google/bus driver/18.jpg,FALSE,woman,1,0.455,0.455,0.1875,1,good
b8,male,administrative assistant,http://homes.cs.washington.edu/~mjskay/aws-images/google/administrative assistant/0.jpg,FALSE,woman,1,0.953,0.953,0.923076923,0.5,fair
b3,female,pharmacist,http://homes.cs.washington.edu/~mjskay/aws-images/google/pharmacist/0.jpg,FALSE,man,1,0.537,0.463,0.576923077,0,very good
b30,female,special ed teacher,http://homes.cs.washington.edu/~mjskay/aws-images/google/special ed teacher/0.jpg,FALSE,woman,1,0.862,0.862,0.779069767,0.125,very poor
b6,male,technical writer,http://homes.cs.washington.edu/~mjskay/aws-images/google/technical writer/4.jpg,FALSE,man,1,0.555,0.445,0.35,0,fair
b7,male,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,FALSE,man,1,0.377,0.623,0.287671233,0.375,very good
b38,male,chief executive officer,http://homes.cs.washington.edu/~mjskay/aws-images/google/chief executive officer/1.jpg,FALSE,man,1,0.274,0.726,0.112244898,0.25,poor
b22,male,engineer,http://homes.cs.washington.edu/~mjskay/aws-images/google/engineer/0.jpg,FALSE,man,1,0.132,0.868,0.154929577,0,poor
b25,male,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,FALSE,man,1,0.215,0.785,0.241758242,0.5,very good
b12,female,chef,http://homes.cs.washington.edu/~mjskay/aws-images/google/chef/0.jpg,FALSE,man,1,0.215,0.785,0.241758242,0.5,good
b8,male,bartender,http://homes.cs.washington.edu/~mjskay/aws-images/google/bartender/0.jpg,FALSE,man,1,0.599,0.401,0.234042553,0,very good
b3,female,building inspector,http://homes.cs.washington.edu/~mjskay/aws-images/google/building inspector/0.jpg,FALSE,man,1,0.078,0.922,0.06779661,0.5,good
b30,female,mail carrier,http://homes.cs.washington.edu/~mjskay/aws-images/google/mail carrier/0.jpg,FALSE,man,1,0.377,0.623,0.287671233,0,good
